International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belarus;Eastern Europe;;4.444;4.338;4.451;5.033;4.751;5.225;5.982;6.192;5.762;5.764;6.693;7.897;9.235;10.448;11.644;14.168;17.357;18.154;20.183;20.729;4.827;1.573;4.613;9.380;9.733;;Belarus;
Belgium;Western Europe;;249.957;181.693;159.052;151.069;175.997;191.596;188.311;216.579;265.383;245.710;254.892;263.682;262.721;277.324;290.436;318.329;276.722;278.127;294.221;292.390;44.961;33.073;215.075;264.984;283.933;;Belgium;
Belize;Central America;;30.352;28.682;22.327;22.074;21.430;20.533;21.968;22.184;20.757;20.227;18.641;17.531;18.049;20.945;21.440;25.121;26.057;25.949;26.646;28.692;6.201;17.110;27.719;34.741;40.319;;Belize;
Benin;Africa;;741;670;669;698;795;1.045;1.260;1.389;1.715;1.582;1.876;1.972;1.974;1.942;2.274;2.408;2.363;2.204;2.151;2.150;507;576;1.516;2.224;3.005;;Benin;
Bermuda;Caribbean;;7.474;7.107;6.227;13.382;15.996;16.120;13.230;23.311;23.445;20.743;17.378;10.898;14.423;56.525;73.597;73.082;72.469;70.749;80.675;84.108;19.123;31.651;53.722;69.309;63.977;;Bermuda;
Bhutan;Asia;;150;230;154;188;187;188;183;309;368;230;210;233;234;426;698;773;713;732;803;874;158;141;514;987;1.168;;Bhutan;
Bolivia;South America;;49.135;34.943;25.011;22.307;22.843;21.786;22.785;27.611;29.942;31.966;32.504;35.484;36.165;45.373;50.517;62.131;69.350;67.318;70.688;72.781;23.874;57.686;63.131;72.652;75.260;;Bolivia;
Bonaire, St. Eustatius, Saba;Caribbean;;;;;;;;;;;;;;;9;293;333;292;332;859;;;;;;;;Bonaire, St Eustatius;
Bosnia and Herzegovina;Western Europe;;5.430;4.755;4.068;4.154;4.656;4.700;4.753;4.939;4.370;3.897;4.233;4.777;4.811;5.179;6.182;6.729;7.262;7.833;8.457;8.453;2.197;2.444;5.867;8.039;9.102;;Bosnia and Herzegovina;
Botswana;Africa;;2.391;2.490;2.116;1.873;2.273;2.269;2.038;2.356;2.572;2.300;2.279;2.216;2.182;1.835;1.956;2.333;2.222;2.230;2.347;2.566;435;481;1.852;2.401;2.604;;Botswana;
Brazil;South America;;737.245;551.406;405.094;348.945;384.734;485.373;525.271;639.431;769.232;892.611;1.197.866;1.519.009;1.772.940;2.108.357;2.274.305;2.228.291;1.725.479;1.912.447;2.209.372;2.104.617;423.689;239.336;1.224.974;1.624.719;1.910.256;;BRAZIL;
British Virgin Islands;Caribbean;;29.708;23.745;14.497;14.748;16.902;19.487;20.266;22.338;22.195;23.961;20.262;15.200;14.770;23.712;28.969;30.025;26.830;21.461;24.753;30.811;8.662;7.001;17.319;21.560;17.909;;British Virgin Islands;
Brunei;Asia;;1.230;943;762;702;696;763;958;1.168;1.210;1.080;1.095;1.369;1.432;1.543;1.466;1.414;1.254;1.125;1.382;1.416;204;116;697;1.148;1.126;;Brunei Darussalam;
Bulgaria;Eastern Europe;;11.418;11.996;13.858;13.868;14.639;16.565;18.123;20.299;23.771;20.000;20.200;21.105;20.790;23.521;25.145;26.463;28.080;29.471;29.886;31.774;7.633;8.302;20.553;30.351;33.368;;Bulgaria;
Burkina Faso;Africa;;946;1.199;1.134;1.075;1.129;1.493;1.692;1.701;1.651;1.882;1.771;2.156;2.395;3.089;4.399;5.622;5.752;4.434;4.015;4.156;767;1.445;2.702;2.991;3.169;;Burkina Faso;
Burma (Myanmar);Asia;;1.357;1.301;1.461;829;945;760;1.039;1.136;1.174;1.536;1.960;1.983;2.398;3.508;4.997;6.001;7.694;9.161;9.611;10.908;1.943;1.891;3.735;9.802;9.732;;Myanmar (formerly Burma);
Burundi;Africa;;308;475;289;181;294;506;720;600;501;479;671;719;864;1.388;1.403;1.594;1.831;2.034;1.662;1.232;221;298;989;1.185;1.409;;Burundi;
Cameroon;Africa;;3.124;4.279;5.003;5.214;4.366;4.759;4.958;5.339;5.222;5.072;5.517;5.724;5.278;6.227;7.892;9.059;11.300;11.484;9.777;7.836;1.381;1.116;7.310;11.014;13.323;;Cameroon;
Canada;North America;;14.667.000;13.526.927;13.024.353;12.665.736;13.856.517;14.862.096;15.992.242;17.759.571;18.910.210;17.973.474;20.175.617;21.336.761;22.697.345;23.406.993;23.013.691;20.699.152;19.287.499;20.493.214;21.475.152;20.720.068;4.808.888;2.529.022;14.382.227;20.514.314;20.241.121;;CANADA;Source: Statistics Canada.  Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
Cape Verde;Africa;;3.906;4.958;1.744;1.211;1.208;1.559;1.562;2.070;2.180;2.708;2.517;1.838;1.713;4.041;4.945;4.669;5.577;5.242;4.785;4.766;588;1.142;2.722;4.115;4.702;;Cabo Verde (Cape Verde);
Cayman Islands;Caribbean;;52.922;46.252;35.069;37.160;49.191;46.353;47.534;53.530;51.078;51.085;46.558;42.970;43.343;43.329;39.875;38.876;33.226;30.684;48.779;70.885;12.325;8.834;47.042;59.627;46.484;;Cayman Islands;
Central African Republic;Africa;;159;228;169;47;49;341;390;292;230;166;234;267;220;321;341;322;368;303;426;786;243;216;1.394;2.501;2.967;;Central African Republic;
Chad;Africa;;240;229;229;230;222;349;335;458;275;424;265;268;274;458;841;716;742;801;666;718;119;295;721;1.466;1.076;;Chad;
Chile;South America;;192.361;150.350;115.359;95.389;101.171;101.550;110.143;123.152;130.813;126.609;146.736;173.807;187.544;225.336;253.485;311.554;342.721;330.350;364.622;383.908;131.950;207.333;411.931;414.551;392.239;;Chile;
China;Asia;;249.441;232.416;225.565;157.326;202.544;270.272;320.450;397.405;492.958;524.817;801.738;1.112.287;1.465.503;1.872.033;2.224.787;2.628.570;3.049.942;3.173.915;2.991.813;2.829.970;378.080;191.776;368.111;1.078.056;1.625.960;;CHINA;
Christmas Island;Oceania;;21;17;14;15;11;6;5;3;0;5;7;12;2;27;36;38;42;19;25;30;8;13;24;46;56;;Christmas Island;
Cocos Islands;Oceania;;3;4;11;3;5;9;7;20;11;6;4;10;7;25;42;27;32;25;32;44;24;30;62;89;98;;Cocos Islands;
Colombia;South America;;417.065;371.747;321.439;280.259;295.371;325.398;348.388;389.752;419.268;424.526;494.739;504.845;598.135;789.894;891.709;861.907;852.618;841.931;942.617;944.013;270.110;1.063.659;943.819;932.060;1.068.997;;COLOMBIA;
Comoros;Africa;;23;22;19;10;6;8;18;20;22;30;19;22;24;85;134;95;116;118;149;120;20;58;60;97;124;;Comoros;
Congo;Africa;;1.604;2.273;1.432;1.111;1.223;1.449;1.267;1.416;1.587;1.841;2.077;2.474;2.811;1.814;1.719;1.648;1.389;1.185;1.376;1.200;168;268;983;1.739;1.785;;Congo, Republic of;
Cook Islands;Oceania;;542;342;244;456;469;355;215;290;311;227;66;45;38;77;111;61;60;59;73;79;19;27;83;237;212;;Cook Islands;
Costa Rica;Central America;;176.056;143.434;124.993;112.880;127.112;133.820;130.702;160.444;165.257;157.471;165.594;170.364;178.025;193.357;204.622;231.809;284.614;277.344;316.102;334.591;102.141;266.772;255.410;311.393;351.888;;Costa Rica;
Côte d'Ivoire;Africa;;5.226;5.127;2.514;1.649;1.638;1.463;2.132;1.944;2.583;2.892;2.422;1.742;2.361;5.198;6.418;7.235;7.935;7.583;8.298;8.605;1.588;1.290;5.054;8.221;9.612;;Côte d'Ivoire;
Croatia;Western Europe;;11.244;10.073;9.676;9.685;11.176;11.722;12.290;14.447;17.270;15.407;15.105;15.886;14.701;16.953;18.580;20.727;22.312;24.287;25.219;26.922;6.132;7.369;24.830;34.365;40.388;;Croatia;
Cuba;Caribbean;;48.614;31.425;26.880;18.543;22.762;18.847;20.356;17.208;22.395;32.666;37.871;20.009;22.617;46.818;56.360;60.138;65.819;104.695;116.437;106.432;27.577;14.559;23.275;14.436;21.942;;Cuba;
Curacao;Caribbean;;;;;;;;;;;;;1;1;449;5.744;5.735;5.276;7.523;14.655;21.761;3.723;10.221;14.535;15.473;14.611;;Curacao;
Cyprus;Middle East;;12.152;10.893;9.378;9.485;9.087;9.698;9.215;10.143;11.517;10.174;10.136;9.705;8.862;8.451;9.257;9.536;10.471;11.278;11.885;12.591;1.952;2.384;7.967;11.228;12.629;;Cyprus;
Czech Republic;Eastern Europe;;43.758;39.018;26.209;33.174;30.944;35.341;36.659;42.915;49.485;65.060;63.909;77.488;77.314;84.841;92.322;102.856;100.034;114.392;119.433;127.022;19.960;15.087;87.432;110.551;123.444;;Czech Republic;
Denmark;Western Europe;;149.211;126.345;118.716;125.435;150.839;174.581;185.337;217.593;256.604;245.623;258.788;278.237;274.118;279.642;313.072;354.203;327.074;332.987;331.374;314.060;48.277;28.133;214.340;236.176;235.894;;Denmark;
